Date,Open,High,Low,Close,Adj Close,Volume
1997-01-16,6090.799805,6112.299805,6087.500000,6103.700195,6103.700195,1224100
1997-01-17,6121.000000,6144.299805,6121.000000,6138.799805,6138.799805,1202800
1997-01-20,6126.399902,6126.399902,6110.799805,6113.899902,6113.899902,1172000
1997-01-21,6102.299805,6102.299805,6073.600098,6076.000000,6076.000000,1205800
1997-01-22,6061.600098,6070.799805,6048.399902,6058.700195,6058.700195,1244400
1997-01-23,6074.500000,6093.500000,6039.000000,6040.500000,6040.500000,1197600
1997-01-24,6036.399902,6044.299805,6026.399902,6033.600098,6033.600098,1039800
1997-01-27,6043.100098,6044.000000,6029.899902,6040.799805,6040.799805,882300
1997-01-28,6070.700195,6075.000000,6031.899902,6046.700195,6046.700195,1348500
1997-01-29,6049.299805,6071.500000,6042.299805,6071.299805,6071.299805,1107700
1997-01-30,6083.000000,6085.100098,6065.299805,6085.100098,6085.100098,1273300
1997-01-31,6102.200195,6109.600098,6094.200195,6109.600098,6109.600098,1077500
1997-02-03,6123.200195,6144.899902,6117.600098,6140.899902,6140.899902,957100
1997-02-04,6143.799805,6156.899902,6141.200195,6145.399902,6145.399902,1150300
1997-02-05,6154.899902,6159.200195,6105.399902,6112.399902,6112.399902,1468500
1997-02-06,6104.200195,6104.200195,6071.100098,6071.899902,6071.899902,1159600
1997-02-07,6092.600098,6101.700195,6063.100098,6101.700195,6101.700195,1111900
1997-02-10,6109.200195,6112.500000,6074.799805,6081.299805,6081.299805,952200
1997-02-11,6096.899902,6127.000000,6093.500000,6126.899902,6126.899902,1023400
1997-02-12,6136.200195,6172.100098,6131.600098,6165.399902,6165.399902,1211300
1997-02-13,6190.100098,6225.799805,6190.100098,6225.799805,6225.799805,1246300
1997-02-14,6226.700195,6226.700195,6199.000000,6214.200195,6214.200195,1264800
1997-02-17,6214.200195,6220.799805,6201.600098,6217.600098,6217.600098,864600
1997-02-18,6220.700195,6238.200195,6208.299805,6238.200195,6238.200195,1381000
1997-02-19,6239.299805,6260.700195,6239.299805,6248.899902,6248.899902,1304800
1997-02-20,6237.100098,6245.100098,6205.100098,6205.100098,6205.100098,1534100
1997-02-21,6220.899902,6227.000000,6207.500000,6227.000000,6227.000000,1376700
1997-02-24,6211.299805,6242.799805,6211.299805,6242.500000,6242.500000,965700
1997-02-25,6245.200195,6247.799805,6226.500000,6247.799805,6247.799805,1058900
1997-02-26,6244.000000,6250.799805,6187.100098,6201.399902,6201.399902,1068900
1997-02-27,6193.500000,6203.200195,6174.299805,6187.500000,6187.500000,1165000
1997-02-28,6146.799805,6158.299805,6131.799805,6157.799805,6157.799805,1024800
